"","left_first_type","right_first_type","left_second_type","right_second_type","left_side_won","hp_diff","attack_diff","defense_diff","spatk_diff","spdef_diff","speed_diff"
"1",16,12,10,3,0,-20,-6,10,-15,10,-19
"2",10,7,16,7,0,0,-39,-18,18,39,0
"3",5,9,15,1,0,-20,-35,10,-45,10,0
"4",7,1,3,1,0,-37,-80,-50,10,-50,-28
"5",16,19,1,17,1,50,50,-105,105,-160,50
"6",1,5,17,10,1,-10,-3,-100,7,-100,5
"7",15,9,12,16,0,-25,0,10,-45,-50,-25
"8",6,1,9,4,0,-80,-20,-70,-65,-85,-55
"9",1,1,18,1,0,0,12,28,-23,-28,-29
"10",18,9,4,1,0,5,-25,-10,5,-20,-5
"11",13,9,18,1,0,10,10,-25,-40,-25,-25
"12",16,7,9,1,1,53,99,5,17,25,78
"13",1,1,18,12,0,-50,-90,-35,-60,-65,-30
"14",16,19,18,16,1,-25,-15,15,15,-10,25
"15",16,3,1,9,1,30,70,100,1,70,5
"16",18,1,1,1,0,-27,-32,11,3,12,-21
"17",18,13,4,1,0,40,0,5,-30,-5,-55
"18",13,9,12,12,0,-55,-60,-20,-20,15,0
"19",6,18,16,6,1,20,95,-62,90,-80,62
"20",18,1,15,1,1,-21,45,0,1,-25,41
"21",18,1,2,18,0,-1,-59,-32,21,6,-20
"22",18,12,18,18,0,26,-8,-15,-35,-30,0
"23",18,10,9,8,0,-5,-15,-40,-80,-5,-40
"24",11,17,7,12,1,35,10,20,-100,-60,20
"25",10,1,4,9,0,-10,-40,-10,-5,-10,-73
"26",15,9,3,5,1,6,-60,10,-30,54,20
"27",1,12,13,1,0,-25,-31,15,14,-5,-44
"28",18,17,16,4,0,-4,-11,26,8,0,-26
"29",13,1,4,1,1,-5,-20,16,-55,-9,40
"30",1,18,15,1,1,-16,61,36,-35,-33,5
"31",16,1,18,1,0,-3,65,-40,-35,-50,-42
"32",1,9,13,9,0,-5,-50,-10,5,60,-40
"33",10,1,14,9,0,-10,-15,-25,35,5,-100
"34",4,9,13,9,1,5,25,47,65,32,36
"35",7,1,16,2,0,-30,-50,-63,0,-25,38
"36",18,12,16,3,0,11,-81,-82,-3,-38,-32
"37",2,7,13,1,0,12,45,29,5,29,-12
"38",18,1,12,16,1,-22,-20,20,-75,-30,2
